제목,작가,날짜,링크,유료,성인,미리보기,카테고리,장르,키워드,공,수,엔딩,AI제안장르,AI제안키워드,AI제안공,AI제안수,AI제안엔딩,요약,본문추출,AI원본응답,AI신뢰도,AI처리일시,정리메모,시리즈,시리즈명,시리즈회차,연재상태,상태근거,시리즈열통일,시리즈열통일메모,장르키워드5개제한,장르키워드5개제한메모
[혚쾌] 동양풍,굏,2020-10-01,https://www.postype.com/@rhlg11/post/8041238,X,X,굏 2020. 10. 1.  ·  STRIPSHOW 구독 [혚쾌] 동양풍 팬케이크님과 대화중에 단도를 이용하는 쾌와 활로 맞서는 혚이 너무 멋져서ㅠㅠ그렸습니다 혚쾌 끌페스 조회 4,그림,"시대물, 동양풍",혐관,,,,동양풍,,,,,단도를 쓰는 쾌와 활로 맞서는 혚을 그린 동양풍 일러스트,단도를 이용하는 쾌와 활로 맞서는 혚이 너무 멋져서ㅠㅠ그렸습니다,"{""id"":""449"",""category"":""그림"",""genres"":[""시대물""],""keywords"":[""혐관""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""동양풍""],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""단도를 쓰는 쾌와 활로 맞서는 혚을 그린 동양풍 일러스트"",""evidence"":""단도를 이용하는 쾌와 활로 맞서는 혚이 너무 멋져서ㅠㅠ그렸습니다"",""confidence"":0.9,""note"":""일러스트 연성 포스트""}",0.9,2026-06-14 22:10,genre: 동양풍,,,,,,,,,
[혚쾌] 동네백수형아들,굏,2020-10-01,https://www.postype.com/@rhlg11/post/8041225,X,X,굏 2020. 10. 1.  ·  STRIPSHOW 구독 [혚쾌] 동네백수형아들 혚쾌 끌페스 조회 609 4 0 0,그림,일상물,일상물,,,,,백수콘셉트,,,,동네 백수 콘셉트의 혚쾌 그림 연성,동네백수형아들 혚쾌 끌페스,"{""id"":""450"",""category"":""그림"",""genres"":[""일상물""],""keywords"":[""일상물""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""백수콘셉트""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""동네 백수 콘셉트의 혚쾌 그림 연성"",""evidence"":""동네백수형아들 혚쾌 끌페스"",""confidence"":0.8,""note"":""짧은 소개와 태그 기반 분류""}",0.8,2026-06-14 22:10,,,,,,,,,,
[혚쾌] 귀여우니까 괜찮아,굏,2020-09-19,https://www.postype.com/@rhlg11/post/7942732,X,X,굏 2020. 9. 19.  ·  STRIPSHOW 구독 [혚쾌] 귀여우니까 괜찮아 이거 우얘합에서 이승협이 실제로 한 말을 걍 그린거임 찐이라 이말임 끌페스 혚쾌 조회 1.1천 ,그림,리얼물,달달물,,,,,,,,,실제 언급을 바탕으로 그린 귀여운 일상 그림 연성,이승협이 실제로 한 말을 걍 그린거임,"{""id"":""451"",""category"":""그림"",""genres"":[""리얼물""],""keywords"":[""달달물""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""실제 언급을 바탕으로 그린 귀여운 일상 그림 연성"",""evidence"":""이승협이 실제로 한 말을 걍 그린거임"",""confidence"":0.85,""note"":""실제 방송 언급 기반 그림 연성""}",0.85,2026-06-14 22:10,,,,,,,,,,
[혚쾌]다시 만난 세계 下,ideal,2020-09-16,https://www.postype.com/@ideal-comma-dot/post/7718528,X,X,ideal 2020. 9. 16.  ·  쉼표골방 구독 [혚쾌]다시 만난 세계 下 쾌른 전력 세 번째 주제 中 [꿈] 다시 만난 세계 上편 못 보신 분은 상편과 연결되는 내용이니 ,글,판타지,재회,,,,,,,,,꿈을 주제로 한 혚쾌 재회 소설 하편,쾌른 전력 세 번째 주제 中 [꿈] 다시 만난 세계,"{""id"":""452"",""category"":""글"",""genres"":[""판타지""],""keywords"":[""재회""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""꿈을 주제로 한 혚쾌 재회 소설 하편"",""evidence"":""쾌른 전력 세 번째 주제 中 [꿈] 다시 만난 세계"",""confidence"":0.8,""note"":""유료 결제선으로 인해 상세 내용 제한적""}",0.8,2026-06-14 22:10,,Y,다시 만난 세계,下,완결,하편표기,,,,
[혚쾌] 자유,훤,2020-09-09,https://www.postype.com/@oct-3lnd/post/7844896,X,X,훤 2020. 9. 9.  ·  SUNSET 구독 [혚쾌] 자유 自由 * 일제강점기를 배경으로 하고 있습니다. 불편하신 분들은 보지 않아 주셨으면 합니다. * 예전에 썼던 '독립',글,"시대물, 피폐물","상처, 죽음, 비밀연애",상처공,상처수,"새드엔딩, 사망",,"일제강점기, 독립운동",,,,일제강점기를 배경으로 한 독립운동가와 첩자의 비극적인 사랑 이야기,"일제강점기를 배경, 친일파 집안의 독립 운동가, 시신조차 없는 무덤의 묘비명","{""id"":""453"",""category"":""글"",""genres"":[""시대물"",""피폐물""],""keywords"":[""상처"",""죽음"",""비밀연애""],""top"":[""상처공""],""bottom"":[""상처수""],""ending"":[""새드엔딩"",""사망""],""suggested_genres"":[],""suggested_keywords"":[""일제강점기"",""독립운동""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""일제강점기를 배경으로 한 독립운동가와 첩자의 비극적인 사랑 이야기"",""evidence"":""일제강점기를 배경, 친일파 집안의 독립 운동가, 시신조차 없는 무덤의 묘비명"",""confidence"":0.95,""note"":""본문 텍스트 기반 분류""}",0.95,2026-06-14 22:10,,,,,,,,,,
[혚쾌] 할로윈 로맨스,시공간,2020-09-06,https://www.postype.com/@nightflight01/post/7814158,X,X,시공간 2020. 9. 6.  ·  야간비행 [혚쾌] 할로윈 로맨스 너를 알고나서부터 내 삶이 흔들렸다. 작년 반 대항 농구대회에서 너를 처음 보고 난 이후로 쭉 짝사랑해왔다. 학,글,"학원물, 청게","짝사랑, 첫사랑, 쌍방짝사랑, 오해","다정공, 짝사랑공","짝사랑수, 순진수",,,고등학교,,,,고등학교를 배경으로 서로를 짝사랑하는 두 사람의 풋풋한 학원 로맨스,"작년 반 대항 농구대회에서 너를 처음 보고 난 이후로 쭉 짝사랑해왔다, 같은반이 되었지만","{""id"":""454"",""category"":""글"",""genres"":[""학원물"",""청게""],""keywords"":[""짝사랑"",""첫사랑"",""쌍방짝사랑"",""오해""],""top"":[""다정공"",""짝사랑공""],""bottom"":[""짝사랑수"",""순진수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""고등학교""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""고등학교를 배경으로 서로를 짝사랑하는 두 사람의 풋풋한 학원 로맨스"",""evidence"":""작년 반 대항 농구대회에서 너를 처음 보고 난 이후로 쭉 짝사랑해왔다, 같은반이 되었지만"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:10,,,,,,,,,,
[혚쾌] 물망초 tmi,훤,2020-09-03,https://www.postype.com/@oct-3lnd/post/7772895,X,X,훤 2020. 9. 3.  ·  SUNSET 구독 [혚쾌] 물망초 tmi 나를 잊지 마세요 * 더 생각나면 종종 추가하겠습니다. * 퇴고 없어서 문장이 어색할 수도 있습니다. 1.,글,피폐물,"첫사랑, 상처, 후회, 비밀연애","상처공, 후회공",상처수,오픈엔딩,,"설정집, TMI",,,,소설 '물망초'의 캐릭터 설정 및 비하인드 스토리를 담은 TMI 글,"물망초 tmi, 유회승의 첫사랑은 이승협, 결말에 관해 설명을 하자면","{""id"":""455"",""category"":""글"",""genres"":[""현대물"",""피폐물""],""keywords"":[""첫사랑"",""상처"",""후회"",""비밀연애""],""top"":[""상처공"",""후회공""],""bottom"":[""상처수""],""ending"":[""오픈엔딩""],""suggested_genres"":[],""suggested_keywords"":[""설정집"",""TMI""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""소설 '물망초'의 캐릭터 설정 및 비하인드 스토리를 담은 TMI 글"",""evidence"":""물망초 tmi, 유회승의 첫사랑은 이승협, 결말에 관해 설명을 하자면"",""confidence"":0.9,""note"":""작가의 설정 및 비하인드 정리글""}",0.9,2026-06-14 22:10,,,,,,,,,Y,"장르 현대물 제거: 현대물, 피폐물 -> 피폐물"
[혚쾌] 파리시크릿,시공간,2020-08-26,https://www.postype.com/@nightflight01/post/7691268,X,O,시공간 2020. 8. 26.  ·  야간비행 [혚쾌] 파리시크릿 세번째 쾌른전력 주제:밀회 매년 2월말부터 3월초 파리에서는 패션위크가 열린다. 한때 GQ KOREA소속이었던 나,글,현대물,비밀연애,,,,,"패션위크, 모델",,,,파리 패션위크를 배경으로 펼쳐지는 두 사람의 비밀스러운 만남,주제:밀회 매년 2월말부터 3월초 파리에서는 패션위크,"{""id"":""456"",""category"":""글"",""genres"":[""현대물""],""keywords"":[""비밀연애""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""패션위크"",""모델""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""파리 패션위크를 배경으로 펼쳐지는 두 사람의 비밀스러운 만남"",""evidence"":""주제:밀회 매년 2월말부터 3월초 파리에서는 패션위크"",""confidence"":0.8,""note"":""미리보기 기반 분류""}",0.8,2026-06-14 22:10,,,,,,,,,,
[혚쾌] 상실의 모양새,도길,2020-08-25,https://www.postype.com/@love-in-jermeuni/post/4555393,X,X,도길 2020. 8. 25.  ·  젊은이의 단상 구독 [혚쾌] 상실의 모양새 * 본 글은 픽션이며 동명의 실존 인물 및 그룹과 무관합니다. * 2019년에 써둔 글이라 멤버 한 ,글,연예계물,"기억상실, 상처, 오해",무심공,상처수,,,"아이돌, 기억상실증",,,,사고로 인해 멤버이자 연인인 회승에 대한 기억만 잃어버린 승협과 상처받는 회승의 이야기,"이승협이 유회승을 잊었다, 외상으로 인한 부분 기억상실","{""id"":""457"",""category"":""글"",""genres"":[""현대물"",""연예계물""],""keywords"":[""기억상실"",""상처"",""오해""],""top"":[""무심공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""아이돌"",""기억상실증""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""사고로 인해 멤버이자 연인인 회승에 대한 기억만 잃어버린 승협과 상처받는 회승의 이야기"",""evidence"":""이승협이 유회승을 잊었다, 외상으로 인한 부분 기억상실"",""confidence"":0.95,""note"":""본문 텍스트 기반 분류""}",0.95,2026-06-14 22:10,,,,,,,,,Y,"장르 현대물 제거: 현대물, 연예계물 -> 연예계물"
[혚쾌] 푸른 사막의 끝,시공간,2020-08-24,https://www.postype.com/@nightflight01/post/7670743,X,O,시공간 2020. 8. 24.  ·  야간비행 [혚쾌] 푸른 사막의 끝 세번째 쾌른전력 ※노모럴하고 취향타는 내용입니다. 주제:꿈 한달동안 똑같은 악몽을 꿨다. 푸른 바닷물속에 잠,글,,상처,,,,,악몽,,,,악몽을 꾸는 인물의 어두운 분위기를 다룬 글,"노모럴하고 취향타는 내용, 악몽","{""id"":""458"",""category"":""글"",""genres"":[],""keywords"":[""상처""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""피폐물""],""suggested_keywords"":[""악몽""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""악몽을 꾸는 인물의 어두운 분위기를 다룬 글"",""evidence"":""노모럴하고 취향타는 내용, 악몽"",""confidence"":0.5,""note"":""미리보기가 매우 짧아 키워드 위주로 분류""}",0.5,2026-06-14 22:11,,,,,,,,,,
[혚쾌] 밀회,굏,2020-08-20,https://www.postype.com/@rhlg11/post/7631074,X,X,굏 2020. 8. 20.  ·  STRIPSHOW 구독 [혚쾌] 밀회 도길님께서 푸신 밀회썰을 보고 대화나눴던 부분을 생각하며 그렸습니다 혚쾌 끌페스 조회 899 11 0 0,그림,"피폐물, 리얼물","짝사랑, 상처, 비밀연애","연하공, 짝사랑공","연상수, 상처수",,,밀회,,,,비밀스러운 만남을 다룬 팬아트/그림,밀회썰을 보고... 그렸습니다,"{""id"":""459"",""category"":""그림"",""genres"":[""현대물"",""리얼물""],""keywords"":[""비밀연애""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""밀회""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""비밀스러운 만남을 다룬 팬아트/그림"",""evidence"":""밀회썰을 보고... 그렸습니다"",""confidence"":0.8,""note"":""썰 기반의 그림 연성물""}",0.8,2026-06-14 22:11,,Y,밀회,,연재중,반복제목,Y,"장르: 현대물, 리얼물 -> 현대물, 피폐물, 리얼물 / 키워드: 비밀연애 -> 짝사랑, 상처, 비밀연애 / 공: (빈칸) -> 연하공, 짝사랑공 / 수: (빈칸) -> 연상수, 상처수",Y,"장르 현대물 제거: 현대물, 피폐물, 리얼물 -> 피폐물, 리얼물"
[혚쾌]늦은 밤의 방문자,굏,2020-08-20,https://www.postype.com/@rhlg11/post/7631055,X,X,"굏 2020. 8. 20.  ·  STRIPSHOW 구독 [혚쾌]늦은 밤의 방문자 쾌른전력 키워드: 키스, 귀신, 너도 알잖아 혚쾌 끌페스 조회 1천 13 0 0",글,판타지,오해,,,,,귀신,,,,귀신과 키스를 키워드로 한 짧은 글,"키워드: 키스, 귀신","{""id"":""460"",""category"":""글"",""genres"":[""판타지""],""keywords"":[""오해""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""귀신""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""귀신과 키스를 키워드로 한 짧은 글"",""evidence"":""키워드: 키스, 귀신"",""confidence"":0.7,""note"":""전력 참여작으로 짧은 텍스트 기준 분류""}",0.7,2026-06-14 22:11,,,,,,,,,,
[혚쾌] 물망초 08 (完),훤,2020-08-16,https://www.postype.com/@oct-3lnd/post/7590717,X,X,훤 2020. 8. 16.  ·  SUNSET 구독 [혚쾌] 물망초 08 (完) 날 잊지 마세요. [혚쾌] 물망초 08 물망초 꽃말 ; 날 잊지 마세요 w. 환 -18은 물망초01,글,"재회물, 피폐물, 학원물","재회, 상처, 후회, 피폐, 오해","후회공, 상처공, 다정공, 집착공, 재벌공","상처수, 무심수, 짝사랑수, 굴림수",새드엔딩,,대체품,,,,과거 연인과 닮아 시작된 관계의 비극과 이별을 그린 현대 피폐물,"임하준이 아닌 유회승이 보고 싶었다, 저는 형을 잊을 거예요","{""id"":""461"",""category"":""글"",""genres"":[""현대물"",""재회물"",""피폐물""],""keywords"":[""재회"",""상처"",""후회"",""피폐""],""top"":[""후회공"",""상처공""],""bottom"":[""상처수"",""무심수""],""ending"":[""새드엔딩""],""suggested_genres"":[],""suggested_keywords"":[""대체품""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""과거 연인과 닮아 시작된 관계의 비극과 이별을 그린 현대 피폐물"",""evidence"":""임하준이 아닌 유회승이 보고 싶었다, 저는 형을 잊을 거예요"",""confidence"":0.95,""note"":""완결화 본문 텍스트를 바탕으로 명확한 분류 가능""}",0.95,2026-06-14 22:11,,Y,물망초,08 (完),완결,완결표기,Y,"장르: 현대물, 재회물, 피폐물 -> 현대물, 재회물, 피폐물, 학원물 / 키워드: 재회, 상처, 후회, 피폐 -> 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 / 공: 후회공, 상처공 -> 후회공, 상처공, 다정공, 집착공, 재벌공 / 수: 상처수, 무심수 -> 상처수, 무심수, 짝사랑수, 굴림수",Y,"장르 현대물 제거: 현대물, 재회물, 피폐물, 학원물 -> 재회물, 피폐물, 학원물 / 키워드 5개 제한: 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 -> 재회, 상처, 후회, 피폐, 오해"
[혚쾌] 다생지연 (多生之緣),훤,2020-08-15,https://www.postype.com/@oct-3lnd/post/7574349,X,X,훤 2020. 8. 15.  ·  SUNSET 구독 [혚쾌] 다생지연 (多生之緣) 전세로부터 여러 번 윤회하는 사이에 맺어진 인연 - 역사적 사실과 어떠한 관계도 없습니다. “애가,글,"환생물, 시대물, 판타지, 동양풍","환생, 궁중물, 첫사랑, 재회, 전생","순정공, 집착공",상처수,,동양풍,"전생, 귀신보는수",,,,귀신을 보는 인물과 전생의 인연이 얽힌 동양풍 환생 판타지,"전세로부터 여러 번 윤회하는 사이에 맺어진 인연, 애가 귀신을 봐","{""id"":""462"",""category"":""글"",""genres"":[""환생물"",""시대물"",""판타지""],""keywords"":[""환생"",""궁중물"",""첫사랑"",""재회""],""top"":[""순정공"",""집착공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[""동양풍""],""suggested_keywords"":[""전생"",""귀신보는수""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""귀신을 보는 인물과 전생의 인연이 얽힌 동양풍 환생 판타지"",""evidence"":""전세로부터 여러 번 윤회하는 사이에 맺어진 인연, 애가 귀신을 봐"",""confidence"":0.9,""note"":""전생과 환생, 조선시대 궁중 배경이 명확히 드러남""}",0.9,2026-06-14 22:11,genre: 동양풍 / keyword: 전생,,,,,,,,,
[혚쾌] 물망초 07,훤,2020-08-11,https://www.postype.com/@oct-3lnd/post/7548372,X,X,훤 2020. 8. 11.  ·  SUNSET 구독 [혚쾌] 물망초 07 날 잊지 마세요. [혚쾌] 물망초 07 물망초 꽃말 ; 날 잊지 마세요 w. 환 15 내가 이곳에 와 있는,글,"재회물, 피폐물, 학원물","재회, 상처, 후회, 피폐, 오해","후회공, 상처공, 다정공, 집착공, 재벌공","상처수, 무심수, 짝사랑수, 굴림수",,,대체품,,,,상대방이 자신을 다른 사람의 대체품으로 여긴다는 것을 알고 상처받는 이야기,형이 저를 통해 사랑하는 사람이 있다는 것도,"{""id"":""463"",""category"":""글"",""genres"":[""현대물"",""피폐물""],""keywords"":[""상처"",""오해"",""피폐"",""짝사랑""],""top"":[""후회공"",""상처공""],""bottom"":[""상처수"",""짝사랑수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""대체품""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""상대방이 자신을 다른 사람의 대체품으로 여긴다는 것을 알고 상처받는 이야기"",""evidence"":""형이 저를 통해 사랑하는 사람이 있다는 것도"",""confidence"":0.95,""note"":""물망초 시리즈의 갈등이 고조되는 회차""}",0.95,2026-06-14 22:11,,Y,물망초,7,완결,완결표기,Y,"장르: 현대물, 피폐물 -> 현대물, 재회물, 피폐물, 학원물 / 키워드: 상처, 오해, 피폐, 짝사랑 -> 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 / 공: 후회공, 상처공 -> 후회공, 상처공, 다정공, 집착공, 재벌공 / 수: 상처수, 짝사랑수 -> 상처수, 무심수, 짝사랑수, 굴림수",Y,"장르 현대물 제거: 현대물, 재회물, 피폐물, 학원물 -> 재회물, 피폐물, 학원물 / 키워드 5개 제한: 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 -> 재회, 상처, 후회, 피폐, 오해"
[혚쾌] 물망초 06,훤,2020-08-09,https://www.postype.com/@oct-3lnd/post/7525926,X,X,훤 2020. 8. 9.  ·  SUNSET 구독 [혚쾌] 물망초 06 날 잊지 마세요. [혚쾌] 물망초 06 물망초 꽃말 ; 날 잊지 마세요 w. 환 14 우리는 서로에게 사랑한,글,"재회물, 피폐물, 학원물","재회, 상처, 후회, 피폐, 오해","후회공, 상처공, 다정공, 집착공, 재벌공","상처수, 무심수, 짝사랑수, 굴림수",,,대체품,,,,서로의 마음을 확인하고 연애를 시작하지만 과거의 비밀이 드러나는 현대물,이승협이 사랑했던 사람이랑 닮았네요,"{""id"":""464"",""category"":""글"",""genres"":[""현대물""],""keywords"":[""첫사랑"",""상처"",""오해""],""top"":[""상처공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""대체품""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""서로의 마음을 확인하고 연애를 시작하지만 과거의 비밀이 드러나는 현대물"",""evidence"":""이승협이 사랑했던 사람이랑 닮았네요"",""confidence"":0.9,""note"":""연애 시작과 동시에 갈등의 씨앗이 드러나는 회차""}",0.9,2026-06-14 22:11,,Y,물망초,6,완결,완결표기,Y,"장르: 현대물 -> 현대물, 재회물, 피폐물, 학원물 / 키워드: 첫사랑, 상처, 오해 -> 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 / 공: 상처공 -> 후회공, 상처공, 다정공, 집착공, 재벌공 / 수: 상처수 -> 상처수, 무심수, 짝사랑수, 굴림수",Y,"장르 현대물 제거: 현대물, 재회물, 피폐물, 학원물 -> 재회물, 피폐물, 학원물 / 키워드 5개 제한: 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 -> 재회, 상처, 후회, 피폐, 오해"
[혚쾌] 로맨틱메이데이,시공간,2020-08-05,https://www.postype.com/@nightflight01/post/7490096,X,X,시공간 2020. 8. 5.  ·  야간비행 [혚쾌] 로맨틱메이데이 전공필수 조과제는 교수님께서 짜주시는대로 조가 편성되었다. 내가 속한 조에 승협선배가 속해있는걸 확인하자 내심 ,글,학원물,"짝사랑, 달달물, 오해, 선후배","다정공, 집착공","짝사랑수, 순진수",,캠퍼스물,선후배,,,,대학 조별과제와 MT를 배경으로 선배를 짝사랑하는 캠퍼스물,"전공필수 조과제, 승협선배, 좋아하고 있는걸지도","{""id"":""465"",""category"":""글"",""genres"":[""현대물"",""학원물""],""keywords"":[""짝사랑"",""달달물"",""오해""],""top"":[""다정공"",""집착공""],""bottom"":[""짝사랑수"",""순진수""],""ending"":[],""suggested_genres"":[""캠퍼스물""],""suggested_keywords"":[""선후배""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""대학 조별과제와 MT를 배경으로 선배를 짝사랑하는 캠퍼스물"",""evidence"":""전공필수 조과제, 승협선배, 좋아하고 있는걸지도"",""confidence"":0.9,""note"":""풋풋한 대학생들의 오해와 삽질을 다룬 캠퍼스물""}",0.9,2026-06-14 22:11,keyword: 선후배,,,,,,,,Y,"장르 현대물 제거: 현대물, 학원물 -> 학원물"
[혚쾌] 물망초 05,훤,2020-08-04,https://www.postype.com/@oct-3lnd/post/7482762,X,X,훤 2020. 8. 4.  ·  SUNSET 구독 [혚쾌] 물망초 05 날 잊지 마세요. [혚쾌] 물망초 05 물망초 꽃말 ; 날 잊지 마세요 w. 환 11 도어락이 열리는 소리가,글,"재회물, 피폐물, 학원물","재회, 상처, 후회, 피폐, 오해","후회공, 상처공, 다정공, 집착공, 재벌공","상처수, 무심수, 짝사랑수, 굴림수",,,,,,,어려운 환경 속에서 계약 관계로 얽힌 두 사람의 상처와 동거 이야기,"제가 이 집에 있는 이유가 이건데, 17살 때인가... 돈이 없고","{""id"":""466"",""category"":""글"",""genres"":[""현대물"",""피폐물""],""keywords"":[""상처"",""동거"",""계약"",""피폐""],""top"":[""상처공""],""bottom"":[""상처수"",""굴림수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""스폰서""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""어려운 환경 속에서 계약 관계로 얽힌 두 사람의 상처와 동거 이야기"",""evidence"":""제가 이 집에 있는 이유가 이건데, 17살 때인가... 돈이 없고"",""confidence"":0.9,""note"":""수 캐릭터의 과거 상처와 공과의 계약적 동거 관계가 암시됨""}",0.9,2026-06-14 22:11,,Y,물망초,5,완결,완결표기,Y,"장르: 현대물, 피폐물 -> 현대물, 재회물, 피폐물, 학원물 / 키워드: 상처, 동거, 계약, 피폐 -> 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 / 공: 상처공 -> 후회공, 상처공, 다정공, 집착공, 재벌공 / 수: 상처수, 굴림수 -> 상처수, 무심수, 짝사랑수, 굴림수",Y,"장르 현대물 제거: 현대물, 재회물, 피폐물, 학원물 -> 재회물, 피폐물, 학원물 / 키워드 5개 제한: 재회, 상처, 후회, 피폐, 오해, 짝사랑, 첫사랑, 동거, 계약, 죽음, 상실, 학원물, 집착, 가정폭력, 신분차이, 미련 -> 재회, 상처, 후회, 피폐, 오해"
[혚쾌] 위로,굏,2020-08-01,https://www.postype.com/@rhlg11/post/4916123,X,X,굏 2020. 8. 1.  ·  STRIPSHOW 구독 [혚쾌] 위로 팬케이크님과 대화하다 풀었던 고단한 하루에 지친 이승협과 말없이 그런 이승협을 위로해주는 유회승.. 굳이 뭐가,글,일상물,"구원, 잔잔물, 달달물, 위로",다정공,다정수,,,위로,,,,지친 일상 속에서 말없이 서로를 위로하는 두 사람의 잔잔한 이야기,고단한 하루에 지친 이승협과 말없이 그런 이승협을 위로해주는 유회승,"{""id"":""467"",""category"":""글"",""genres"":[""현대물"",""일상물""],""keywords"":[""구원"",""잔잔물"",""달달물""],""top"":[""다정공""],""bottom"":[""다정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""위로""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""지친 일상 속에서 말없이 서로를 위로하는 두 사람의 잔잔한 이야기"",""evidence"":""고단한 하루에 지친 이승협과 말없이 그런 이승협을 위로해주는 유회승"",""confidence"":0.85,""note"":""서로를 보듬어주는 따뜻하고 잔잔한 분위기""}",0.85,2026-06-14 22:11,keyword: 위로,,,,,,,,Y,"장르 현대물 제거: 현대물, 일상물 -> 일상물"
[혚쾌] 장마,하루,2020-08-01,https://www.postype.com/@day1259/post/7453055,X,X,"하루 2020. 8. 1.  ·  YOUTH 구독 [혚쾌] 장마 * 이승협은 이름만 대면 모두가 아는 대기업의 마케팅부 부장이고, 유회승은 이제 막 같은 회사의 회계부에서 대리 호",글,"리맨물, 재회물","재회, 동거, 사내연애, 상처, 잔잔물",다정공,상처수,,오피스물,"구남친, 동거인",,,,헤어진 후 서로의 빈자리를 느끼다 장마철에 재회하는 두 사람의 이야기,"이승협과 유회승은 연인이다. 아니, 연인이었다. 불과 몇 주 전까지만 해도.","{""id"":""468"",""category"":""글"",""genres"":[""현대물"",""리맨물"",""재회물""],""keywords"":[""재회"",""동거"",""사내연애"",""상처"",""잔잔물""],""top"":[""다정공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[""오피스물""],""suggested_keywords"":[""구남친"",""동거인""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""헤어진 후 서로의 빈자리를 느끼다 장마철에 재회하는 두 사람의 이야기"",""evidence"":""이승협과 유회승은 연인이다. 아니, 연인이었다. 불과 몇 주 전까지만 해도."",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:11,,,,,,,,,Y,"장르 현대물 제거: 현대물, 리맨물, 재회물 -> 리맨물, 재회물"
